n_estimators,max_depth,learning_rate,subsample,accuracy,f1_score,training_time
50,3,0.01,0.8,0.45539473684210524,0.4401916108455299,0.462630033493042
50,3,0.01,1.0,0.4511842105263158,0.43602472574200885,0.2550315856933594
50,3,0.1,0.8,0.48407894736842105,0.4714820675173788,0.268923282623291
50,3,0.1,1.0,0.4801315789473684,0.4680014894296871,0.2661478519439697
50,3,0.3,0.8,0.501578947368421,0.49702449693777057,0.2715780735015869
50,3,0.3,1.0,0.5022368421052632,0.4969636509227339,0.26502227783203125
50,5,0.01,0.8,0.48039473684210526,0.4686806414191876,0.5257456302642822
50,5,0.01,1.0,0.47078947368421054,0.460155755432079,0.547856330871582
50,5,0.1,0.8,0.4963157894736842,0.4883587212193781,0.5052599906921387
50,5,0.1,1.0,0.4963157894736842,0.4878660514779875,0.5333418846130371
50,5,0.3,0.8,0.49447368421052634,0.4917199034353114,0.5089683532714844
50,5,0.3,1.0,0.5057894736842106,0.5029629907816682,0.5048658847808838
50,7,0.01,0.8,0.4886842105263158,0.4799524285596421,1.1970429420471191
50,7,0.01,1.0,0.4719736842105263,0.463408872343838,1.22385573387146
50,7,0.1,0.8,0.4951315789473684,0.49063895298839594,1.1232030391693115
50,7,0.1,1.0,0.4909210526315789,0.4857771518842938,1.1369454860687256
50,7,0.3,0.8,0.47907894736842105,0.4778818418482806,1.109489917755127
50,7,0.3,1.0,0.48894736842105263,0.4854818665715931,1.0795166492462158
100,3,0.01,0.8,0.46131578947368423,0.44621554195500324,0.4275507926940918
100,3,0.01,1.0,0.45302631578947367,0.43786952308809846,0.4340198040008545
100,3,0.1,0.8,0.4982894736842105,0.4910024819739918,0.4293649196624756
100,3,0.1,1.0,0.5021052631578947,0.4948352518452877,0.41996169090270996
100,3,0.3,0.8,0.49815789473684213,0.49578693435810567,0.43253374099731445
100,3,0.3,1.0,0.5056578947368421,0.5024020808343377,0.42157554626464844
100,5,0.01,0.8,0.4855263157894737,0.4742868587539528,0.9441170692443848
100,5,0.01,1.0,0.4772368421052632,0.4657491047435421,0.943007230758667
100,5,0.1,0.8,0.5086842105263157,0.5039463447219977,0.9186961650848389
100,5,0.1,1.0,0.5105263157894737,0.5052238691421264,0.9135651588439941
100,5,0.3,0.8,0.48697368421052634,0.48542583076059714,0.9192750453948975
100,5,0.3,1.0,0.49592105263157893,0.4934495129104761,0.9004082679748535
100,7,0.01,0.8,0.49223684210526314,0.4836024671677634,2.3450396060943604
100,7,0.01,1.0,0.4861842105263158,0.4764173435623958,2.389723062515259
100,7,0.1,0.8,0.5007894736842106,0.4971449484337612,2.1631414890289307
100,7,0.1,1.0,0.5006578947368421,0.4968725467582944,2.1472995281219482
100,7,0.3,0.8,0.4876315789473684,0.48531080069012095,2.044245958328247
100,7,0.3,1.0,0.49105263157894735,0.4887665676544773,2.063795804977417
200,3,0.01,0.8,0.4689473684210526,0.4530999934808529,0.8077068328857422
200,3,0.01,1.0,0.4648684210526316,0.44913101372139985,0.7981069087982178
200,3,0.1,0.8,0.5097368421052632,0.5052933782256918,0.7769474983215332
200,3,0.1,1.0,0.5121052631578947,0.5076073769867339,0.7794489860534668
200,3,0.3,0.8,0.4975,0.4958642520380308,0.780576229095459
200,3,0.3,1.0,0.49723684210526314,0.4953932027239936,0.7698886394500732
200,5,0.01,0.8,0.4884210526315789,0.4768786515017503,1.8136622905731201
200,5,0.01,1.0,0.4817105263157895,0.4689165097302376,1.815849781036377
200,5,0.1,0.8,0.5117105263157895,0.5087546174999272,1.7558801174163818
200,5,0.1,1.0,0.5071052631578947,0.5038621908523073,1.7345550060272217
200,5,0.3,0.8,0.4856578947368421,0.48386502718581104,1.7525618076324463
200,5,0.3,1.0,0.48723684210526313,0.4861958537799292,1.7327585220336914
200,7,0.01,0.8,0.4946052631578947,0.48580029751646,4.5769429206848145
200,7,0.01,1.0,0.48578947368421055,0.47578704011128564,4.680669069290161
200,7,0.1,0.8,0.5068421052631579,0.5039790667530192,4.176831483840942
200,7,0.1,1.0,0.4993421052631579,0.49704256565529814,4.089788436889648
200,7,0.3,0.8,0.4971052631578947,0.49542863172636276,3.54679274559021
200,7,0.3,1.0,0.5017105263157895,0.4995056786514869,3.5520596504211426
